customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0019-CUST,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,63.31,833.75,Yes
0020-CUST,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),47.85,329.36,Yes
0021-CUST,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,28.12,648.89,No
0022-CUST,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,658.1,No
0023-CUST,Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,72.43,3489.3,No
0024-CUST,Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.1,4411.42,No
0025-CUST,Female,0,No,No,25,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.74,1152.68,No
0026-CUST,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),32.53,288.11,Yes
0027-CUST,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,53.23,3009.38,Yes
0028-CUST,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,65.95,858.37,Yes
0029-CUST,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,79.44,5746.81,Yes
0030-CUST,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),49.27,3451.17,No
0031-CUST,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.53,767.22,Yes
0032-CUST,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,68.8,2051.14,No
0033-CUST,Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.1,3848.66,Yes
0034-CUST,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,62.63,987.0,No
0035-CUST,Male,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),51.02,3654.06,Yes
0036-CUST,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,53.05,2633.63,No
0037-CUST,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),64.35,885.06,Yes
0038-CUST,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),47.97,1732.47,No
0039-CUST,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),85.08,5961.33,No
0040-CUST,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,81.49,5777.45,Yes
0041-CUST,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.87,607.38,No
0042-CUST,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,74.89,1137.4,Yes
0043-CUST,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),69.41,4561.96,Yes
0044-CUST,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.63,1344.58,No
0045-CUST,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,74.84,901.69,Yes
0046-CUST,Female,1,No,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),50.19,3133.64,No
0047-CUST,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,79.74,4784.19,No
0048-CUST,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),51.03,1599.94,No
0049-CUST,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.07,968.23,Yes
0050-CUST,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,65.87,2638.7,Yes
0051-CUST,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,78.26,5076.61,Yes
0052-CUST,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),38.34,253.4,Yes
0053-CUST,Female,1,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,57.9,3367.28,No
0054-CUST,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),72.17,1726.25,Yes
0055-CUST,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,77.4,254.4,Yes
0056-CUST,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.57,2232.07,No
0057-CUST,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,20.03,No
0058-CUST,Male,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),48.59,1989.2,Yes
0059-CUST,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.34,789.51,No
0060-CUST,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.29,117.76,Yes
0061-CUST,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,45.0,2036.49,Yes
0062-CUST,Male,0,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),41.62,870.12,No
0063-CUST,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,76.11,2439.58,No
0064-CUST,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,605.93,Yes
0065-CUST,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,298.15,No
0066-CUST,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,42.44,2305.68,No
0067-CUST,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,67.91,145.95,Yes
0068-CUST,Female,1,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),49.65,3429.62,Yes
0069-CUST,Female,0,No,No,48,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,36.34,1765.08,No
0070-CUST,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.64,1013.14,Yes
0071-CUST,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,559.9,Yes
0072-CUST,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),71.85,1388.81,Yes
0073-CUST,Female,1,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,41.19,621.46,No
0074-CUST,Male,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,71.67,1152.8,Yes
0075-CUST,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),35.47,0.0,Yes
0076-CUST,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1259.54,No
0077-CUST,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.08,1853.97,No
0078-CUST,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,43.04,2820.28,No
0079-CUST,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,30.71,1110.88,Yes
0080-CUST,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.96,726.98,No
0081-CUST,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,73.77,4522.56,No
0082-CUST,Male,1,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,72.93,1434.05,Yes
0083-CUST,Female,0,Yes,Yes,36,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,45.21,1639.01,Yes
0084-CUST,Male,0,No,Yes,34,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,26.97,913.49,No
0085-CUST,Male,1,Yes,No,37,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),46.59,1733.62,No
0086-CUST,Female,0,Yes,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,40.09,2053.46,No
0087-CUST,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,70.99,1032.36,Yes
0088-CUST,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),68.79,2848.96,No
0089-CUST,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,73.19,206.03,Yes
0090-CUST,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,46.37,1740.32,No
0091-CUST,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),54.04,1208.48,No
0092-CUST,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),77.67,1100.26,Yes
0093-CUST,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),77.44,816.37,Yes
0094-CUST,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,1247.61,No
0095-CUST,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),72.06,3850.78,No
0096-CUST,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),71.11,2646.03,No
0097-CUST,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,77.48,2105.54,Yes
0098-CUST,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.39,528.61,No
0099-CUST,Male,0,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),40.39,2729.51,No
0100-CUST,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,1137.88,No
0101-CUST,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,85.02,295.88,Yes
0102-CUST,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,142.61,No
0103-CUST,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.79,215.8,No
0104-CUST,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,49.97,3383.66,No
0105-CUST,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,76.18,489.4,No
0106-CUST,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,77.06,3330.17,Yes
0107-CUST,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),76.84,1698.55,Yes
0108-CUST,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),42.11,15.8,No
0109-CUST,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,623.83,No
0110-CUST,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.2,1300.59,No
0111-CUST,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,66.78,1272.71,No
0112-CUST,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),40.07,1717.45,No
0113-CUST,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,1227.0,No
0114-CUST,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),64.78,3230.86,No
0115-CUST,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),65.63,1941.3,No
0116-CUST,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),57.93,2342.21,No
0117-CUST,Female,0,Yes,No,57,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,38.55,2176.81,No
0118-CUST,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,66.57,277.76,No
0119-CUST,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),39.62,1267.63,Yes
0120-CUST,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.83,3130.03,No
0121-CUST,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),41.68,757.51,No
0122-CUST,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.48,585.8,No
0123-CUST,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.77,52.82,No
0124-CUST,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),42.58,4.07,Yes
0125-CUST,Female,0,No,No,40,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,28.1,1094.94,No
0126-CUST,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,78.11,3673.68,No
0127-CUST,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,63.86,2447.57,No
0128-CUST,Female,1,Yes,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),31.33,149.15,Yes
0129-CUST,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),68.66,702.87,No
0130-CUST,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,381.7,No
0131-CUST,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,50.04,3179.87,No
0132-CUST,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),45.1,493.12,Yes
0133-CUST,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),83.31,4342.99,Yes
0134-CUST,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.77,1304.49,No
0135-CUST,Male,0,Yes,Yes,52,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,35.41,1858.82,No
0136-CUST,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,73.1,1458.83,No
0137-CUST,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.44,1114.0,No
0138-CUST,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,1236.25,No
0139-CUST,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,66.68,4712.37,No
0140-CUST,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,86.14,5594.79,Yes
0141-CUST,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.54,1417.81,Yes
0142-CUST,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),71.27,3406.39,No
0143-CUST,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,56.54,3282.32,No
0144-CUST,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),28.06,631.92,Yes
0145-CUST,Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,85.76,178.62,No
0146-CUST,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),38.34,2153.97,No
0147-CUST,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.36,1436.55,No
0148-CUST,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.25,4335.48,Yes
0149-CUST,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.7,393.92,Yes
0150-CUST,Male,0,Yes,No,60,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),41.34,2468.43,No
0151-CUST,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,32.66,1176.49,No
0152-CUST,Male,1,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,66.89,3547.93,No
0153-CUST,Male,0,No,No,64,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),38.49,2508.19,No
0154-CUST,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,49.0,673.33,Yes
0155-CUST,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,101.85,No
0156-CUST,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,43.66,2675.68,Yes
0157-CUST,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,71.92,0.0,No
0158-CUST,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.6,1331.15,No
0159-CUST,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,40.93,2672.91,Yes
0160-CUST,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,58.21,1091.35,No
0161-CUST,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.22,884.31,No
0162-CUST,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.57,1032.12,No
0163-CUST,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.96,4223.2,Yes
0164-CUST,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.06,854.01,No
0165-CUST,Male,1,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,46.16,2826.94,Yes
0166-CUST,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,49.33,2317.04,Yes
0167-CUST,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.64,341.66,Yes
0168-CUST,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),67.92,2804.02,Yes
0169-CUST,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),63.99,3639.45,No
0170-CUST,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,75.58,3202.35,No
0171-CUST,Male,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.0,157.78,No
0172-CUST,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),85.99,3249.1,No
0173-CUST,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.96,243.98,Yes
0174-CUST,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,70.59,2683.19,No
